;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
3810;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3811;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3812;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3813;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3814;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3815;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3816;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3817;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3818;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3819;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3820;GO;PR;São José Dos Pinhais;Luziania;1339;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3821;GO;PR;São José Dos Pinhais;Luziania;1339;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3822;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3823;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3824;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
